ticker,status,n,max_rel_autoadjust_vs_adjclose,max_rel_adjclose_vs_rawclose,max_rel_saved_vs_autoadjust,start_aa,end_aa,start_raw,end_raw,ratio_aa,ratio_raw
SPY,ok,2637,0.0,0.15694215270176184,7.642015671154022e-07,169.47158813476562,746.77001953125,201.02000427246094,746.77001953125,4.406461447315939,3.7149040078572666
QQQ,ok,2637,0.0,0.0720950970937351,7.485936545309155e-07,101.60565185546875,736.4000244140625,109.5,736.4000244140625,7.247628561662803,6.725114378210616
SMH,ok,2637,0.0,0.08901861011230432,3.786255287505509e-07,24.01347541809082,655.8900146484375,26.360000610351562,655.8900146484375,27.313414790193818,24.88201818898554
NVDA,ok,2637,0.0,0.025485887695412705,9.250863886142217e-07,0.7886258363723755,200.08999633789062,0.809249997138977,200.08999633789062,253.7198086969745,247.25362625306013
TSLA,ok,2637,0.0,0.0,1.9099927228343878e-16,14.894000053405762,420.6000061035156,14.894000053405762,420.6000061035156,28.239559862720586,28.239559862720586
MU,ok,2637,0.0,0.024863285248245458,8.057623519051963e-07,13.973715782165527,1154.112548828125,14.329999923706055,1154.2900390625,82.59167188022415,80.55059631598205
AAPL,ok,2637,0.0,0.09979700767173227,8.436681806643697e-07,23.7091007232666,289.3599853515625,26.337499618530273,289.3599853515625,12.204595557165229,10.986615644712815
BND,ok,2637,0.0,0.26529315079376903,1.5691760709098597e-06,59.3055534362793,73.16600036621094,80.72000122070312,73.41000366210938,1.2337124624395246,0.9094400712580901
IEF,ok,2637,0.0,0.21264414209566251,1.3490432720019289e-06,83.49126434326172,94.25900268554688,106.04000091552734,94.56999969482422,1.128968442710548,0.8918332598861418
TLT,ok,2637,0.0,0.2536043350735607,1.0861405389827606e-06,90.64983367919922,86.10199737548828,121.44999694824219,86.41999816894531,0.9498307264434122,0.711568549530508
