ticker,PRC_orig_%,PRC_cc_%,abs_diff,abs_diff_bps,abs_diff_pp
SPY,7.117800732659091,7.117800732659091,0.0,0.0,0.0
QQQ,9.705393784072307,9.705393784072307,0.0,0.0,0.0
SMH,14.1112581029076,14.1112581029076,0.0,0.0,0.0
NVDA,19.12253260967522,19.12253260967522,0.0,0.0,0.0
TSLA,19.49062504676072,19.49062504676072,0.0,0.0,0.0
MU,18.18274933708206,18.18274933708206,0.0,0.0,0.0
AAPL,9.921955982886297,9.921955982886297,0.0,0.0,0.0
BND,1.0913871174510248,1.0913871174510248,0.0,0.0,0.0
IEF,0.38672399310403766,0.38672399310403766,0.0,0.0,0.0
TLT,0.869573293401649,0.869573293401649,0.0,0.0,0.0
