ticker,weight,mrc,rc,prc,asset_class,weight_pct,prc_pct
SPY,0.08571428571428572,0.00941186815729597,0.0008067315563396546,0.07117800732659091,equity,8.571428571428571,7.117800732659091
QQQ,0.08571428571428572,0.012833442539519237,0.0011000093605302204,0.09705393784072307,equity,8.571428571428571,9.705393784072307
SMH,0.08571428571428572,0.018659317082135276,0.0015993700356115952,0.141112581029076,equity,8.571428571428571,14.1112581029076
NVDA,0.08571428571428572,0.02528572553739067,0.0021673479032049145,0.1912253260967522,equity,8.571428571428571,19.12253260967522
TSLA,0.08571428571428572,0.025772454179799884,0.002209067501125704,0.19490625046760718,equity,8.571428571428571,19.49062504676072
MU,0.08571428571428572,0.024043050083230467,0.0020608328642768973,0.1818274933708206,equity,8.571428571428571,18.18274933708206
AAPL,0.08571428571428572,0.013119802742571724,0.0011245545207918622,0.09921955982886298,equity,8.571428571428571,9.921955982886297
BND,0.13333333333333333,0.0009277336436841257,0.00012369781915788343,0.010913871174510247,fixed_income,13.333333333333334,1.0913871174510248
IEF,0.13333333333333333,0.00032873473901764603,4.3831298535686136e-05,0.0038672399310403765,fixed_income,13.333333333333334,0.38672399310403766
TLT,0.13333333333333333,0.0007391807975726073,9.855743967634764e-05,0.00869573293401649,fixed_income,13.333333333333334,0.869573293401649
